2
100
0.5188747756753118629090426829150354536269985406082276033178313946	1
0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.1349001794597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3700141132135770259798462059738534352618903482806612855710574943	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3224001794597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4411252243246881370909573170849645463730014593917723966821686054	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3571224016819727318949880758901938593206233897356401395679571065	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4607170610593820146419777252482298524954504389836091313760461564	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3692751794597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4687795453123424580786116380726188673606557803794267176698229264	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3749001794597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4728607615147707817190564906386835546374642693091277685829950517	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3779557350153060652283214092235271926539567230689734729012904399	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.475208064561374527623501695783189398444007376551535710291636061	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3797981386434239790605209557087879636290134124113771010192042721	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.476680779880243692646512872640520101928557014947327952237724161	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3809939294597505096727658536679716370984011675134179173457348843	1
-0.7127781101106490919866034327184659946266688287285516987883979339e-2	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.4776650167122313896861130264275251000062194524713571717686737957	1
-0.8909726376383113649832542908980824932833360359106896234854974174e-3	0.6481481481481481481481481481481481481481481481481481481481481481e-1	-0.3818137597066640899196794339148852173453147477603314975926484646	1
