2
100
-0.3597263769163553462706237182291225249571019022280353113691979405	1
0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
-0.2754264009713978187179375492139357759890098819226273628242345468e-2	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.3597263769163553462706237182291225249571019022280353113691979405	1
-0.4284178044854344087136799408347475503034561739231348731904002721e-3	0.3643404468752888353768818656608612388137809640395987568157912817e-1	-0.2958892096411923851246070826914061280737896298905363572034664605	1
