2
100
(-0.99983578469491740658980916123255,0)	(-0.99983578469491740658980916123255,0)
(-0.99852252996340062907165702199563,0)	(-0.99852252996340062907165702199563,0)
(-0.99589851430888443051259173444123,0)	(-0.99589851430888443051259173444123,0)
(-0.99196872228014743022583843412576,0)	(-0.99196872228014743022583843412576,0)
(-0.98674062305303122943911375841708,0)	(-0.98674062305303122943911375841708,0)
(-0.98022416131920431237034563309862,0)	(-0.98022416131920431237034563309862,0)
(-0.97243174524830588989487978324178,0)	(-0.97243174524830588989487978324178,0)
(-0.96337823162028368706444325653138,0)	(-0.96337823162028368706444325653138,0)
(-0.95308090825212499197505167103373,0)	(-0.95308090825212499197505167103373,0)
(-0.94155947387220095823323617878486,0)	(-0.94155947387220095823323617878486,0)
(-0.92883601562769613213532693407615,0)	(-0.92883601562769613213532693407615,0)
(-0.91493498444577192607596316520358,0)	(-0.91493498444577192607596316520358,0)
(-0.89988316850891392206790442287456,0)	(-0.89988316850891392206790442287456,0)
(-0.8837096651497239330197430717817,0)	(-0.8837096651497239330197430717817,0)
(-0.86644585152189468324479548755335,0)	(-0.86644585152189468324479548755335,0)
(-0.84812535446345294065650932680001,0)	(-0.84812535446345294065650932680001,0)
(-0.82878402003782880580473602094571,0)	(-0.82878402003782880580473602094571,0)
(-0.808459883319861960515595455945,0)	(-0.808459883319861960515595455945,0)
(-0.78719313909092480940898894914426,0)	(-0.78719313909092480940898894914426,0)
(-0.76502611422335042856701647906448,0)	(-0.76502611422335042856701647906448,0)
(-0.74200324267443173997804706232273,0)	(-0.74200324267443173997804706232273,0)
(-0.71817104418035837554157296835911,0)	(-0.71817104418035837554157296835911,0)
(-0.69357810794913643537284997364623,0)	(-0.69357810794913643537284997364623,0)
(-0.66827508290860693218604637877434,0)	(-0.66827508290860693218604637877434,0)
(-0.64231467638580908019463322489173,0)	(-0.64231467638580908019463322489173,0)
(-0.61575166349501608831218391060247,0)	(-0.61575166349501608831218391060247,0)
(-0.58864291001857360630111770660733,0)	(-0.58864291001857360630111770660733,0)
(-0.5610474122108821681820245430572,0)	(-0.5610474122108821681820245430572,0)
(-0.53302635778680695910480835664202,0)	(-0.53302635778680695910480835664202,0)
(-0.5046432134350504750130994580104,0)	(-0.5046432134350504750130994580104,0)
(-0.47596384561325005835286106048443,0)	(-0.47596384561325005835286106048443,0)
(-0.44705668326156611236399385234108,0)	(-0.44705668326156611236399385234108,0)
(-0.4179929335941051093961107198993,0)	(-0.4179929335941051093961107198993,0)
(0.99935173965571022502984988022945,0)	(0.99935173965571022502984988022945,0)
(0.99741378407245273596259949044907,0)	(0.99741378407245273596259949044907,0)
(0.98387621859605634000445206766017,0)	(0.98387621859605634000445206766017,0)
(0.99417876692233864144299104737001,0)	(0.99417876692233864144299104737001,0)
(-0.38884686557477071700006376886449,0)	(-0.38884686557477071700006376886449,0)
(0.98966654707365941945340637175832,0)	(0.98966654707365941945340637175832,0)
(0.96851522786398958064779662890942,0)	(0.96851522786398958064779662890942,0)
(0.95897410205637401148237586312462,0)	(0.95897410205637401148237586312462,0)
(0.97682078295384122679223537488724,0)	(0.97682078295384122679223537488724,0)
(0.9362587767122394488694681058405,0)	(0.9362587767122394488694681058405,0)
(0.94821466951794763922123365773587,0)	(0.94821466951794763922123365773587,0)
(-0.35969618042228934662318806658732,0)	(-0.35969618042228934662318806658732,0)
(0.92312798629848069609238336852286,0)	(0.92312798629848069609238336852286,0)
(0.90884775625391889253279487093096,0)	(0.90884775625391889253279487093096,0)
(-0.33062249519097330896499897789909,0)	(-0.33062249519097330896499897789909,0)
(0.87694975615634951360277682397282,0)	(0.87694975615634951360277682397282,0)
(0.85939314587180004600952543114545,0)	(0.85939314587180004600952543114545,0)
(-0.30171197503961211250356200253009,0)	(-0.30171197503961211250356200253009,0)
(0.89344519142487610618985627297661,0)	(0.89344519142487610618985627297661,0)
(0.82123395495307027758258300309535,0)	(0.82123395495307027758258300309535,0)
(-0.27305616378567693081080847150588,0)	(-0.27305616378567693081080847150588,0)
(0.84080920863719477154063497437164,0)	(0.84080920863719477154063497437164,0)
(0.80070551552954016827357008878607,0)	(0.80070551552954016827357008878607,0)
(-0.24475308338363824245398348011804,0)	(-0.24475308338363824245398348011804,0)
(0.77926411575629117578500881791115,0)	(0.77926411575629117578500881791115,0)
(-0.21690870527085517882603937778185,0)	(-0.21690870527085517882603937778185,0)
(0.73381366509985024304540957018617,0)	(0.73381366509985024304540957018617,0)
