2
96
(-0.99962661329806212773263496274012140929698944091796875,0)	(-0.99962661329806212773263496274012140929698944091796875,0)
(-0.99850709090879641305349423419102095067501068115234375,0)	(-0.99850709090879641305349423419102095067501068115234375,0)
(-0.9966433446954392483263518442981876432895660400390625,0)	(-0.9966433446954392483263518442981876432895660400390625,0)
(-0.9940385568109115776991302482201717793941497802734375,0)	(-0.9940385568109115776991302482201717793941497802734375,0)
(-0.990697173276904319294544620788656175136566162109375,0)	(-0.990697173276904319294544620788656175136566162109375,0)
(-0.98662489501007566428114614609512500464916229248046875,0)	(-0.98662489501007566428114614609512500464916229248046875,0)
(-0.98182866631094956044734090028214268386363983154296875,0)	(-0.98182866631094956044734090028214268386363983154296875,0)
(-0.976316660835323535394536520470865070819854736328125,0)	(-0.976316660835323535394536520470865070819854736328125,0)
(-0.97009826507255370042770437066792510449886322021484375,0)	(-0.97009826507255370042770437066792510449886322021484375,0)
(-0.963184059359265543065475867479108273983001708984375,0)	(-0.963184059359265543065475867479108273983001708984375,0)
(-0.9555857964614971056249714820296503603458404541015625,0)	(-0.9555857964614971056249714820296503603458404541015625,0)
(-0.94731637776249755233948235400021076202392578125,0)	(-0.94731637776249755233948235400021076202392578125,0)
(-0.93838982709767482237595004335162229835987091064453125,0)	(-0.93838982709767482237595004335162229835987091064453125,0)
(-0.9288212622825315900598752705263905227184295654296875,0)	(-0.9288212622825315900598752705263905227184295654296875,0)
(-0.91862686438379415054811261143186129629611968994140625,0)	(-0.91862686438379415054811261143186129629611968994140625,0)
(-0.90782384478894029289364198120892979204654693603515625,0)	(-0.90782384478894029289364198120892979204654693603515625,0)
(-0.89643041013628088631293167054536752402782440185546875,0)	(-0.89643041013628088631293167054536752402782440185546875,0)
(-0.88446572518222144054789168876595795154571533203125,0)	(-0.88446572518222144054789168876595795154571533203125,0)
(-0.87194987372919208201693663795595057308673858642578125,0)	(-0.87194987372919208201693663795595057308673858642578125,0)
(-0.85890381796138004499852058870601467788219451904296875,0)	(-0.85890381796138004499852058870601467788219451904296875,0)
(-0.84534935852878378970132189351716078817844390869140625,0)	(-0.84534935852878378970132189351716078817844390869140625,0)
(-0.8313089890686027327859619617811404168605804443359375,0)	(-0.8313089890686027327859619617811404168605804443359375,0)
(-0.81680631443932949498076823147130198776721954345703125,0)	(-0.81680631443932949498076823147130198776721954345703125,0)
(-0.80186531064255139877872124998248182237148284912109375,0)	(-0.80186531064255139877872124998248182237148284912109375,0)
(-0.78650984933210399407954582784441299736499786376953125,0)	(-0.78650984933210399407954582784441299736499786376953125,0)
(-0.7707651401312325400994041046942584216594696044921875,0)	(-0.7707651401312325400994041046942584216594696044921875,0)
(-0.754659443945734142999981486354954540729522705078125,0)	(-0.754659443945734142999981486354954540729522705078125,0)
(-0.73823127610615679738970129619701765477657318115234375,0)	(-0.73823127610615679738970129619701765477657318115234375,0)
(-0.704477147333279152263685318757779896259307861328125,0)	(-0.704477147333279152263685318757779896259307861328125,0)
(-0.65189800794719821031009132639155723154544830322265625,0)	(-0.65189800794719821031009132639155723154544830322265625,0)
(-0.66964194262167353599579655565321445465087890625,0)	(-0.66964194262167353599579655565321445465087890625,0)
(-0.68710126083700318044833466046839021146297454833984375,0)	(-0.68710126083700318044833466046839021146297454833984375,0)
(-0.721429288375042165881723121856339275836944580078125,0)	(-0.721429288375042165881723121856339275836944580078125,0)
(-0.63401712352419625773336520069278776645660400390625,0)	(-0.63401712352419625773336520069278776645660400390625,0)
(-0.61598332598863747566753090723068453371524810791015625,0)	(-0.61598332598863747566753090723068453371524810791015625,0)
(-0.5795943452933520756431562404031865298748016357421875,0)	(-0.5795943452933520756431562404031865298748016357421875,0)
(-0.5613171916232746472275039195665158331394195556640625,0)	(-0.5613171916232746472275039195665158331394195556640625,0)
(-0.5063211788560970649797354781185276806354522705078125,0)	(-0.5063211788560970649797354781185276806354522705078125,0)
(-0.59783918675251668251036107903928495943546295166015625,0)	(-0.59783918675251668251036107903928495943546295166015625,0)
(-0.4881320856291251342184978057048283517360687255859375,0)	(-0.4881320856291251342184978057048283517360687255859375,0)
(-0.43389138399912374755018618088797666132450103759765625,0)	(-0.43389138399912374755018618088797666132450103759765625,0)
(-0.5429730934997796243379752922919578850269317626953125,0)	(-0.5429730934997796243379752922919578850269317626953125,0)
(-0.5246689796349512935336178998113609850406646728515625,0)	(-0.5246689796349512935336178998113609850406646728515625,0)
(-0.416137865113295479790878061976400204002857208251953125,0)	(-0.416137865113295479790878061976400204002857208251953125,0)
(-0.31384096715029030644217300505260936915874481201171875,0)	(-0.31384096715029030644217300505260936915874481201171875,0)
(-0.469894891752376142601832498257863335311412811279296875,0)	(-0.469894891752376142601832498257863335311412811279296875,0)
(-0.451854491503071054037121712099178694188594818115234375,0)	(-0.451854491503071054037121712099178694188594818115234375,0)
(-0.38113948769086747336842790900846011936664581298828125,0)	(-0.38113948769086747336842790900846011936664581298828125,0)
(-0.3984815301536148712813201200333423912525177001953125,0)	(-0.3984815301536148712813201200333423912525177001953125,0)
(-0.3470430634822403437311777452123351395130157470703125,0)	(-0.3470430634822403437311777452123351395130157470703125,0)
(-0.33037050644796528420243930668220855295658111572265625,0)	(-0.33037050644796528420243930668220855295658111572265625,0)
(-0.3638454969875670741430440102703869342803955078125,0)	(-0.3638454969875670741430440102703869342803955078125,0)
(-0.282132088123465962770097803513635881245136260986328125,0)	(-0.282132088123465962770097803513635881245136260986328125,0)
(-0.238111498345893235484282968172919936478137969970703125,0)	(-0.238111498345893235484282968172919936478137969970703125,0)
(-0.297962372598609082086085209084558300673961639404296875,0)	(-0.297962372598609082086085209084558300673961639404296875,0)
(-0.267058553254171382462800465873442590236663818359375,0)	(-0.267058553254171382462800465873442590236663818359375,0)
(-0.251008039107480651619397349350037984549999237060546875,0)	(-0.251008039107480651619397349350037984549999237060546875,0)
(-0.20944370769586539982043404961586929857730865478515625,0)	(-0.20944370769586539982043404961586929857730865478515625,0)
(-0.1826759145235656578432070773487794212996959686279296875,0)	(-0.1826759145235656578432070773487794212996959686279296875,0)
(-0.195539902248720809385673646829673089087009429931640625,0)	(-0.195539902248720809385673646829673089087009429931640625,0)
(-0.2221273032048119155934529089790885336697101593017578125,0)	(-0.2221273032048119155934529089790885336697101593017578125,0)
(-0.1701279946048549207571198849109350703656673431396484375,0)	(-0.1701279946048549207571198849109350703656673431396484375,0)
(-0.15804217317727575764507719213725067675113677978515625,0)	(-0.15804217317727575764507719213725067675113677978515625,0)
(-0.1464156127133098006520839362565311603248119354248046875,0)	(-0.1464156127133098006520839362565311603248119354248046875,0)
(-0.135248647567770385879981631660484708845615386962890625,0)	(-0.135248647567770385879981631660484708845615386962890625,0)
(-0.12454825298486897622307623123560915701091289520263671875,0)	(-0.12454825298486897622307623123560915701091289520263671875,0)
(-0.11433705478914570063952993450584472157061100006103515625,0)	(-0.11433705478914570063952993450584472157061100006103515625,0)
(-0.10466919509673699995033757659257389605045318603515625,0)	(-0.10466919509673699995033757659257389605045318603515625,0)
(-0.03581448454402035019850103481076075695455074310302734375,0)	(-0.03581448454402035019850103481076075695455074310302734375,0)
(0.018723009051457129015005875771748833358287811279296875,0)	(0.018723009051457129015005875771748833358287811279296875,0)
(0.018723009051457129015005875771748833358287811279296875,0)	(0.018723009051457129015005875771748833358287811279296875,0)
(0.0091761412125655923699429905582292121835052967071533203125,0)	(0.0091761412125655923699429905582292121835052967071533203125,0)
(0.0091761412125655923699429905582292121835052967071533203125,0)	(0.0091761412125655923699429905582292121835052967071533203125,0)
(0.019393540416392178460380790738781797699630260467529296875,0)	(0.019393540416392178460380790738781797699630260467529296875,0)
(-0.007551891501813480338245465617319496232084929943084716796875,0)	(-0.007551891501813480338245465617319496232084929943084716796875,0)
(0.0037738893882699815936210274713857870665378868579864501953125,0)	(0.0037738893882699815936210274713857870665378868579864501953125,0)
(-0.0189648327495648243157244650092252413742244243621826171875,0)	(-0.0189648327495648243157244650092252413742244243621826171875,0)
