2
54
(0.9989172561196202337896465905942022800445556640625,0)	(0.9989172561196202337896465905942022800445556640625,0)
(0.99567423975568425387194793074741028249263763427734375,0)	(0.99567423975568425387194793074741028249263763427734375,0)
(0.9902865674204093249244351682136766612529754638671875,0)	(0.9902865674204093249244351682136766612529754638671875,0)
(0.98278016906694742882422133334330283105373382568359375,0)	(0.98278016906694742882422133334330283105373382568359375,0)
(0.97319114231211811816280032871873117983341217041015625,0)	(0.97319114231211811816280032871873117983341217041015625,0)
(0.96156554949175310209597000721259973943233489990234375,0)	(0.96156554949175310209597000721259973943233489990234375,0)
(0.947959158683679969925606201286427676677703857421875,0)	(0.947959158683679969925606201286427676677703857421875,0)
(0.932437130145880477272157804691232740879058837890625,0)	(0.932437130145880477272157804691232740879058837890625,0)
(0.91507364992070272524671281644259579479694366455078125,0)	(0.91507364992070272524671281644259579479694366455078125,0)
(0.8959515126487591629711459972895681858062744140625,0)	(0.8959515126487591629711459972895681858062744140625,0)
(0.87516165591624128783365677008987404406070709228515625,0)	(0.87516165591624128783365677008987404406070709228515625,0)
(0.85280264872496214234587341707083396613597869873046875,0)	(0.85280264872496214234587341707083396613597869873046875,0)
(0.82898013692402250374158256818191148340702056884765625,0)	(0.82898013692402250374158256818191148340702056884765625,0)
(0.80380624867371219810507909642183221876621246337890625,0)	(0.80380624867371219810507909642183221876621246337890625,0)
(0.7773989632245275060995481908321380615234375,0)	(0.7773989632245275060995481908321380615234375,0)
(0.7498814464856662365122019764385186135768890380859375,0)	(0.7498814464856662365122019764385186135768890380859375,0)
(0.72138135702637706803130868138396181166172027587890625,0)	(0.72138135702637706803130868138396181166172027587890625,0)
(0.69203012629890425788659058525809086859226226806640625,0)	(0.69203012629890425788659058525809086859226226806640625,0)
(0.66196221699201573951398813733248971402645111083984375,0)	(0.66196221699201573951398813733248971402645111083984375,0)
(0.63131436351819802954565830077626742422580718994140625,0)	(0.63131436351819802954565830077626742422580718994140625,0)
(0.60022479870405087698514989824616350233554840087890625,0)	(0.60022479870405087698514989824616350233554840087890625,0)
(0.568832470791438726820388183114118874073028564453125,0)	(0.568832470791438726820388183114118874073028564453125,0)
(0.53727625486499686058294855683925561606884002685546875,0)	(0.53727625486499686058294855683925561606884002685546875,0)
(0.50569416279891743482011179366963915526866912841796875,0)	(0.50569416279891743482011179366963915526866912841796875,0)
(0.47422255576097660512147058398113586008548736572265625,0)	(0.47422255576097660512147058398113586008548736572265625,0)
(0.44299536322352472961227931591565720736980438232421875,0)	(0.44299536322352472961227931591565720736980438232421875,0)
(0.412143312308039078128985011062468402087688446044921875,0)	(0.412143312308039078128985011062468402087688446044921875,0)
(0.381793171130325792450577182535198517143726348876953125,0)	(0.381793171130325792450577182535198517143726348876953125,0)
(0.3520670096154707717772680553025566041469573974609375,0)	(0.3520670096154707717772680553025566041469573974609375,0)
(0.32308148101303857391286555866827256977558135986328125,0)	(0.32308148101303857391286555866827256977558135986328125,0)
(0.294947127060700864387143838030169717967510223388671875,0)	(0.294947127060700864387143838030169717967510223388671875,0)
(0.2677677094148946945750822123955003917217254638671875,0)	(0.2677677094148946945750822123955003917217254638671875,0)
(0.241639569585707147947317707803449593484401702880859375,0)	(0.241639569585707147947317707803449593484401702880859375,0)
(0.21665101917397777686602466928889043629169464111328125,0)	(0.21665101917397777686602466928889043629169464111328125,0)
(0.19288176170397675068812759491265751421451568603515625,0)	(0.19288176170397675068812759491265751421451568603515625,0)
(0.1704023467657018731102880337857641279697418212890625,0)	(0.1704023467657018731102880337857641279697418212890625,0)
(0.1492736565133505610702968624536879360675811767578125,0)	(0.1492736565133505610702968624536879360675811767578125,0)
(0.1295464237959556286217122078596730716526508331298828125,0)	(0.1295464237959556286217122078596730716526508331298828125,0)
(0.1112607802994150241193693773311679251492023468017578125,0)	(0.1112607802994150241193693773311679251492023468017578125,0)
(0.09444583203154809092350063792764558456838130950927734375,0)	(0.09444583203154809092350063792764558456838130950927734375,0)
(0.079119258249022939022410128018236719071865081787109375,0)	(0.079119258249022939022410128018236719071865081787109375,0)
(0.065286928466783022972919070525676943361759185791015625,0)	(0.065286928466783022972919070525676943361759185791015625,0)
(0.052942530419986470746618323346410761587321758270263671875,0)	(0.052942530419986470746618323346410761587321758270263671875,0)
(0.042067199596868880273614621501110377721488475799560546875,0)	(0.042067199596868880273614621501110377721488475799560546875,0)
(0.032629138170393166828997522088684490881860256195068359375,0)	(0.032629138170393166828997522088684490881860256195068359375,0)
(0.0245832084886770385612209111059200949966907501220703125,0)	(0.0245832084886770385612209111059200949966907501220703125,0)
(0.017870483591303450154885723577535827644169330596923828125,0)	(0.017870483591303450154885723577535827644169330596923828125,0)
(0.01241773072445767102378599844314521760679781436920166015625,0)	(0.01241773072445767102378599844314521760679781436920166015625,0)
(0.0081367884603759065009764839260242297314107418060302734375,0)	(0.0081367884603759065009764839260242297314107418060302734375,0)
(0.004923792726789852879087927561840842827223241329193115234375,0)	(0.004923792726789852879087927561840842827223241329193115234375,0)
(0.0026582187056913529621393621482638991437852382659912109375,0)	(0.0026582187056913529621393621482638991437852382659912109375,0)
(0.0012017166206030015229710983248878619633615016937255859375,0)	(0.0012017166206030015229710983248878619633615016937255859375,0)
(0.00039667644340078841123931052692341836518608033657073974609375,0)	(0.00039667644340078841123931052692341836518608033657073974609375,0)
(0.00006398342946351104581874380539119329114328138530254364013671875,0)	(0.00006398342946351104581874380539119329114328138530254364013671875,0)
0.000128494236627758884328187605206039734184741973876953125	0.000500691059887225543845179487334462464787065982818603515625
0.0005345112230159417519848030764251234359107911586761474609375	0.0019458613555399157692138434327944196411408483982086181640625
0.00118291475076753188101774671991961440653540194034576416015625	0.004294335679462184252042078469457919709384441375732421875
0.002077085844038391478083571684010166791267693042755126953125	0.007404040920846855118597762412946394761092960834503173828125
0.0032203482122460489085746804249765773420222103595733642578125	0.01108512262730244717079397531733775394968688488006591796875
0.004585473480806043049262665789456150378100574016571044921875	0.015148446944896865051788381606456823647022247314453125
0.006138766435318641738472233981838144245557487010955810546875	0.0193913511301963235877732216749791405163705348968505859375
0.007869741139417095465713458679601899348199367523193359375	0.0235717235316830163449619561788495047949254512786865234375
0.00976855849369226598988280585444954340346157550811767578125	0.0274424518344838254402251465080553316511213779449462890625
0.011797568654407071531142747744524967856705188751220703125	0.0308005740059323733504026421314847539179027080535888671875
0.0139137737499379250671882601864126627333462238311767578125	0.03347993330265393308042831677084905095398426055908203125
0.01609817556948862915522369121390511281788349151611328125	0.03532552224877594237995026560383848845958709716796875
0.0183352371705635154575109169172719703055918216705322265625	0.036217154212446776850864438301869085989892482757568359375
0.02058360343096586608790943273561424575746059417724609375	0.03610968493253807753973205763031728565692901611328125
0.0227957088117167923357886394342131097801029682159423828125	0.035024059980627249288875901811479707248508930206298828125
0.024949125217661981268602033878778456710278987884521484375	0.033014372412304392179205336788072600029408931732177734375
0.027030459853150168303415057380334474146366119384765625	0.030172708289258935721033338950292090885341167449951171875
0.0290034043527010836072133059815314481966197490692138671875	0.0266538637021314361863488784365472383797168731689453125
0.03082197228459691851210067170541151426732540130615234375	0.022663302698121133571529384198584011755883693695068359375
0.032464692909781121821222171774934395216405391693115234375	0.0184198517306249885672198018937706365250051021575927734375
0.0339271285043645509649223868109402246773242950439453125	0.0141443602415424786455933059414746821857988834381103515625
0.035187517230620579677946579977287910878658294677734375	0.01006978392293847272831452954733322258107364177703857421875
0.036208644165772997658425680356231168843805789947509765625	0.006430114334412233810522874222215250483714044094085693359375
0.036972518726118279441816838470913353376090526580810546875	0.003430238473882153520111426558969469624571502208709716796875
