2
54
(-0.499083744152389929826796333145466633141040802001953125,0)	(-0.499083744152389929826796333145466633141040802001953125,0)
(-0.499083744152389929826796333145466633141040802001953125,0)	(-0.499083744152389929826796333145466633141040802001953125,0)
(-0.49517656161877499076950925882556475698947906494140625,0)	(-0.49517656161877499076950925882556475698947906494140625,0)
(-0.49517656161877499076950925882556475698947906494140625,0)	(-0.49517656161877499076950925882556475698947906494140625,0)
(-0.488164545577582320579068664301303215324878692626953125,0)	(-0.488164545577582320579068664301303215324878692626953125,0)
(-0.488164545577582320579068664301303215324878692626953125,0)	(-0.488164545577582320579068664301303215324878692626953125,0)
(-0.478075496742150829465600736511987634003162384033203125,0)	(-0.478075496742150829465600736511987634003162384033203125,0)
(-0.478075496742150829465600736511987634003162384033203125,0)	(-0.478075496742150829465600736511987634003162384033203125,0)
(-0.4649509760226526733362106824642978608608245849609375,0)	(-0.4649509760226526733362106824642978608608245849609375,0)
(-0.4649509760226526733362106824642978608608245849609375,0)	(-0.4649509760226526733362106824642978608608245849609375,0)
(-0.44884432570798160622160821731085889041423797607421875,0)	(-0.44884432570798160622160821731085889041423797607421875,0)
(-0.44884432570798160622160821731085889041423797607421875,0)	(-0.44884432570798160622160821731085889041423797607421875,0)
(-0.4298195201302572598933693370781838893890380859375,0)	(-0.4298195201302572598933693370781838893890380859375,0)
(-0.4298195201302572598933693370781838893890380859375,0)	(-0.4298195201302572598933693370781838893890380859375,0)
(-0.40794978092029265948070815284154377877712249755859375,0)	(-0.40794978092029265948070815284154377877712249755859375,0)
(-0.40794978092029265948070815284154377877712249755859375,0)	(-0.40794978092029265948070815284154377877712249755859375,0)
(-0.3833158089658150746714682099991478025913238525390625,0)	(-0.3833158089658150746714682099991478025913238525390625,0)
(-0.3833158089658150746714682099991478025913238525390625,0)	(-0.3833158089658150746714682099991478025913238525390625,0)
(-0.3560035197568740539253440147149376571178436279296875,0)	(-0.3560035197568740539253440147149376571178436279296875,0)
(-0.3560035197568740539253440147149376571178436279296875,0)	(-0.3560035197568740539253440147149376571178436279296875,0)
(-0.32610113245920213653761265959474258124828338623046875,0)	(-0.32610113245920213653761265959474258124828338623046875,0)
(-0.32610113245920213653761265959474258124828338623046875,0)	(-0.32610113245920213653761265959474258124828338623046875,0)
(0.9981674883047777502298458784935064613819122314453125,0)	(0.9981674883047777502298458784935064613819122314453125,0)
(0.99035312323754898233829635501024313271045684814453125,0)	(0.99035312323754898233829635501024313271045684814453125,0)
(0.97632909115516408604662501602433621883392333984375,0)	(0.97632909115516408604662501602433621883392333984375,0)
(0.95615099348430188097580639805528335273265838623046875,0)	(0.95615099348430188097580639805528335273265838623046875,0)
(0.92990195204530701200695830266340635716915130615234375,0)	(0.92990195204530701200695830266340635716915130615234375,0)
(0.89768865141596332346551889713737182319164276123046875,0)	(0.89768865141596332346551889713737182319164276123046875,0)
