Initial Matrix
1
100
0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	1.0	
0.25	0.0	
Quadrature Nodes
-0.99951628229199129815896185391466133296489715576171875	-0.99951628229199129815896185391466133296489715576171875
-0.99806559713360087915390295165707357227802276611328125	-0.99806559713360087915390295165707357227802276611328125
-0.99564934796902171409982429395313374698162078857421875	-0.99564934796902171409982429395313374698162078857421875
-0.992269872363274796356336082681082189083099365234375	-0.992269872363274796356336082681082189083099365234375
-0.98793043974074679081098793176352046430110931396484375	-0.98793043974074679081098793176352046430110931396484375
-0.98263524822223169419288524295552633702754974365234375	-0.98263524822223169419288524295552633702754974365234375
-0.97638942056352384657458287620102055370807647705078125	-0.97638942056352384657458287620102055370807647705078125
-0.96919899919940011301378035568632185459136962890625	-0.96919899919940011301378035568632185459136962890625
-0.96107094039877083435641225150902755558490753173828125	-0.96107094039877083435641225150902755558490753173828125
-0.94203426346554375303554706988506950438022613525390625	-0.94203426346554375303554706988506950438022613525390625
-0.93114406209609856812647876722621731460094451904296875	-0.93114406209609856812647876722621731460094451904296875
-0.919353038981267634000005273264832794666290283203125	-0.919353038981267634000005273264832794666290283203125
-0.90667260117640313676901087092119269073009490966796875	-0.90667260117640313676901087092119269073009490966796875
-0.8931150161865832881602500492590479552745819091796875	-0.8931150161865832881602500492590479552745819091796875
-0.87869340010071350643983123518410138785839080810546875	-0.87869340010071350643983123518410138785839080810546875
-0.8634217049068426685920485397218726575374603271484375	-0.8634217049068426685920485397218726575374603271484375
0.99951628229199507291724557944689877331256866455078125	0.99951628229199507291724557944689877331256866455078125
0.9980655971335783416265030609793029725551605224609375	0.9980655971335783416265030609793029725551605224609375
0.9956493479690171621854233308113180100917816162109375	0.9956493479690171621854233308113180100917816162109375
0.9922698723632710215980523571488447487354278564453125	0.9922698723632710215980523571488447487354278564453125
0.98793043974074901125703718207660131156444549560546875	0.98793043974074901125703718207660131156444549560546875
0.98263524822225456478719252118025906383991241455078125	0.98263524822225456478719252118025906383991241455078125
0.976389420563858578816507360897958278656005859375	0.976389420563858578816507360897958278656005859375
0.96919899918834284680002610912197269499301910400390625	0.96919899918834284680002610912197269499301910400390625
0.89311501612015842255232200841419398784637451171875	0.89311501612015842255232200841419398784637451171875
0.90667260141015593166713415484991855919361114501953125	0.90667260141015593166713415484991855919361114501953125
0.96107094042936702660284709054394625127315521240234375	0.96107094042936702660284709054394625127315521240234375
0.9193530385428541062964313823613338172435760498046875	0.9193530385428541062964313823613338172435760498046875
0.94203426326411177083031134316115640103816986083984375	0.94203426326411177083031134316115640103816986083984375
0.93114406252465797830808469370822422206401824951171875	0.93114406252465797830808469370822422206401824951171875
0.87869340010283780717514900970854796469211578369140625	0.87869340010283780717514900970854796469211578369140625
-0.9520131075372633144837664076476357877254486083984375	-0.9520131075372633144837664076476357877254486083984375
-0.8473147050972593685713718514307402074337005615234375	-0.8473147050972593685713718514307402074337005615234375
0.86342170492656722391444645836600102484226226806640625	0.86342170492656722391444645836600102484226226806640625
-0.83038798229662857952604326783330179750919342041015625	-0.83038798229662857952604326783330179750919342041015625
0.8473147054795988619702029609470628201961517333984375	0.8473147054795988619702029609470628201961517333984375
-0.73405852878368949010479127537109889090061187744140625	-0.73405852878368949010479127537109889090061187744140625
-0.7548229391547121025496380752883851528167724609375	-0.7548229391547121025496380752883851528167724609375
0.77485710674198393643763438376481644809246063232421875	0.77485710674198393643763438376481644809246063232421875
0.75482293904786523786043517247890122234821319580078125	0.75482293904786523786043517247890122234821319580078125
0.83038798061049845511405465003917925059795379638671875	0.83038798061049845511405465003917925059795379638671875
-0.77485710705401433795458387976395897567272186279296875	-0.77485710705401433795458387976395897567272186279296875
-0.71258396425095205106714502107934094965457916259765625	-0.71258396425095205106714502107934094965457916259765625
0.9520131075492288541539664947777055203914642333984375	0.9520131075492288541539664947777055203914642333984375
0.73405852886370814847083465792820788919925689697265625	0.73405852886370814847083465792820788919925689697265625
0.794141649266318694344590767286717891693115234375	0.794141649266318694344590767286717891693115234375
-0.690420020902374975690918290638364851474761962890625	-0.690420020902374975690918290638364851474761962890625
-0.7941416505903216016548640254768542945384979248046875	-0.7941416505903216016548640254768542945384979248046875
0.71258396428432979607947572731063701212406158447265625	0.71258396428432979607947572731063701212406158447265625
0.6904200220564573609038916401914320886135101318359375	0.6904200220564573609038916401914320886135101318359375
-0.66758814221343210082437735763960517942905426025390625	-0.66758814221343210082437735763960517942905426025390625
0.667588146446956187674004468135535717010498046875	0.667588146446956187674004468135535717010498046875
-0.81265791438438095273255612482898868620395660400390625	-0.81265791438438095273255612482898868620395660400390625
-0.64411040553541776265689122737967409193515777587890625	-0.64411040553541776265689122737967409193515777587890625
-0.6200095409186150430258521737414412200450897216796875	-0.6200095409186150430258521737414412200450897216796875
0.81265791701247225287119135828106664121150970458984375	0.81265791701247225287119135828106664121150970458984375
0.64411039669211300751072712955647148191928863525390625	0.64411039669211300751072712955647148191928863525390625
0.620009537362498530654875139589421451091766357421875	0.620009537362498530654875139589421451091766357421875
-0.59530888986827268372081789493677206337451934814453125	-0.59530888986827268372081789493677206337451934814453125
0.59530888057722342043831531555042602121829986572265625	0.59530888057722342043831531555042602121829986572265625
-0.5700322499955798871695833440753631293773651123046875	-0.5700322499955798871695833440753631293773651123046875
-0.54420418142323911947499937014072202146053314208984375	-0.54420418142323911947499937014072202146053314208984375
0.5700323218094875965533674389007501304149627685546875	0.5700323218094875965533674389007501304149627685546875
0.54420411709382554565905820709303952753543853759765625	0.54420411709382554565905820709303952753543853759765625
-0.5178495628267782979747835270245559513568878173828125	-0.5178495628267782979747835270245559513568878173828125
0.517849532415676439001117614679969847202301025390625	0.517849532415676439001117614679969847202301025390625
-0.49099415052422645810992207771050743758678436279296875	-0.49099415052422645810992207771050743758678436279296875
0.4909941214394077935168070325744338333606719970703125	0.4909941214394077935168070325744338333606719970703125
-0.463663560092234361409424536759615875780582427978515625	-0.463663560092234361409424536759615875780582427978515625
0.463663660004290267835358463344164192676544189453125	0.463663660004290267835358463344164192676544189453125
-0.435884446303361816621446678254869766533374786376953125	-0.435884446303361816621446678254869766533374786376953125
-0.40768348171440604854609546237043105065822601318359375	-0.40768348171440604854609546237043105065822601318359375
0.435884917230925150732900874572806060314178466796875	0.435884917230925150732900874572806060314178466796875
0.40768217099313897033852072127046994864940643310546875	0.40768217099313897033852072127046994864940643310546875
-0.2613218036411335543078848786535672843456268310546875	-0.2613218036411335543078848786535672843456268310546875
0.3790890046539259206070937580079771578311920166015625	0.3790890046539259206070937580079771578311920166015625
-0.291214606159811761898481563548557460308074951171875	-0.291214606159811761898481563548557460308074951171875
-0.379088232206596431606016039950191043317317962646484375	-0.379088232206596431606016039950191043317317962646484375
0.3208241394366877496935330782434903085231781005859375	0.3208241394366877496935330782434903085231781005859375
-0.23117615356210408084081109336693771183490753173828125	-0.23117615356210408084081109336693771183490753173828125
-0.32082562042927953438464783175732009112834930419921875	-0.32082562042927953438464783175732009112834930419921875
-0.2008068352302973258449725335594848729670047760009765625	-0.2008068352302973258449725335594848729670047760009765625
0.2912145940325603366005680072703398764133453369140625	0.2912145940325603366005680072703398764133453369140625
0.2613221689997284880035977039369754493236541748046875	0.2613221689997284880035977039369754493236541748046875
0.231176821621844386100974588771350681781768798828125	0.231176821621844386100974588771350681781768798828125
-0.1702473569496260330513592862189398147165775299072265625	-0.1702473569496260330513592862189398147165775299072265625
0.2008077971186396915026506349022383801639080047607421875	0.2008077971186396915026506349022383801639080047607421875
0.35012797780327620245088837691582739353179931640625	0.35012797780327620245088837691582739353179931640625
-0.0155502340185477531953051055779724265448749065399169921875	-0.0155502340185477531953051055779724265448749065399169921875
-0.04663936599023961460108722576478612609207630157470703125	-0.04663936599023961460108722576478612609207630157470703125
-0.07768507809296597288462038477518945001065731048583984375	-0.07768507809296597288462038477518945001065731048583984375
0.01555282804470021519593903036593474098481237888336181640625	0.01555282804470021519593903036593474098481237888336181640625
0.04663600498816865280726773335118195973336696624755859375	0.04663600498816865280726773335118195973336696624755859375
-0.35012693100509928445518426087801344692707061767578125	-0.35012693100509928445518426087801344692707061767578125
0.1702426751083136180486832245151163078844547271728515625	0.1702426751083136180486832245151163078844547271728515625
-0.10865627618381097641009347398721729405224323272705078125	-0.10865627618381097641009347398721729405224323272705078125
0.0776847538225209077733524054565350525081157684326171875	0.0776847538225209077733524054565350525081157684326171875
0.1086562825672056920023322845736402086913585662841796875	0.1086562825672056920023322845736402086913585662841796875
-0.139508291372049286760415043318062089383602142333984375	-0.139508291372049286760415043318062089383602142333984375
0.1395125451353446399682667333763674832880496978759765625	0.1395125451353446399682667333763674832880496978759765625
