2
100
(-0.8017695979174791500000000,0.0000000000000000000000000)	(-0.8017695979174791500000000,0.0000000000000000000000000)
(-0.9518432508078855700000000,0.0000000000000000000000000)	(-0.9518432508078855700000000,0.0000000000000000000000000)
(-0.9731687232494760100000000,0.0000000000000000000000000)	(-0.9731687232494760100000000,0.0000000000000000000000000)
(-0.9809842872765755000000000,0.0000000000000000000000000)	(-0.9809842872765755000000000,0.0000000000000000000000000)
(-0.9994118878423774400000000,0.0000000000000000000000000)	(-0.9994118878423774400000000,0.0000000000000000000000000)
(-0.9977110688210896200000000,0.0000000000000000000000000)	(-0.9977110688210896200000000,0.0000000000000000000000000)
(-0.9867394361364261200000000,0.0000000000000000000000000)	(-0.9867394361364261200000000,0.0000000000000000000000000)
(-0.9950019301077092100000000,0.0000000000000000000000000)	(-0.9950019301077092100000000,0.0000000000000000000000000)
(-0.9913203453906973600000000,0.0000000000000000000000000)	(-0.9913203453906973600000000,0.0000000000000000000000000)
(-0.8158677703111739700000000,0.0000000000000000000000000)	(-0.8158677703111739700000000,0.0000000000000000000000000)
(-0.9582211951135369800000000,0.0000000000000000000000000)	(-0.9582211951135369800000000,0.0000000000000000000000000)
(-0.9020592712554380600000000,0.0000000000000000000000000)	(-0.9020592712554380600000000,0.0000000000000000000000000)
(-0.9277598978595311700000000,0.0000000000000000000000000)	(-0.9277598978595311700000000,0.0000000000000000000000000)
(-0.9157441649319322300000000,0.0000000000000000000000000)	(-0.9157441649319322300000000,0.0000000000000000000000000)
(-0.9645379801735170000000000,0.0000000000000000000000000)	(-0.9645379801735170000000000,0.0000000000000000000000000)
(-0.9981306787319432800000000,0.0000000000000000000000000)	(-0.9981306787319432800000000,0.0000000000000000000000000)
(-0.9812067469018144200000000,0.0000000000000000000000000)	(-0.9812067469018144200000000,0.0000000000000000000000000)
(-0.8804728690846422800000000,0.0000000000000000000000000)	(-0.8804728690846422800000000,0.0000000000000000000000000)
(-0.9294597983758830000000000,0.0000000000000000000000000)	(-0.9294597983758830000000000,0.0000000000000000000000000)
(-0.8946465983721498800000000,0.0000000000000000000000000)	(-0.8946465983721498800000000,0.0000000000000000000000000)
(-0.9452525074190627500000000,0.0000000000000000000000000)	(-0.9452525074190627500000000,0.0000000000000000000000000)
(-0.8559770549224186000000000,0.0000000000000000000000000)	(-0.8559770549224186000000000,0.0000000000000000000000000)
(-0.8438809365420626400000000,0.0000000000000000000000000)	(-0.8438809365420626400000000,0.0000000000000000000000000)
