2
100
(-0.99965555112293114081722933406126685440540313720703125,0)	(-0.99965555112293114081722933406126685440540313720703125,0)
(-0.99862274721749477723875543233589269220829010009765625,0)	(-0.99862274721749477723875543233589269220829010009765625,0)
(-0.9969032154507504461804501261212863028049468994140625,0)	(-0.9969032154507504461804501261212863028049468994140625,0)
(-0.99449966440269521594785828710882924497127532958984375,0)	(-0.99449966440269521594785828710882924497127532958984375,0)
(-0.99141587902338990101469562432612292468547821044921875,0)	(-0.99141587902338990101469562432612292468547821044921875,0)
(-0.9876567135851075374120000560651533305644989013671875,0)	(-0.9876567135851075374120000560651533305644989013671875,0)
(-0.98322808263953220819786338324774987995624542236328125,0)	(-0.98322808263953220819786338324774987995624542236328125,0)
(-0.97813694999510947258869464349118061363697052001953125,0)	(-0.97813694999510947258869464349118061363697052001953125,0)
(-0.97239131573176040834738387275137938559055328369140625,0)	(-0.97239131573176040834738387275137938559055328369140625,0)
(-0.9660002012740525056955220861709676682949066162109375,0)	(-0.9660002012740525056955220861709676682949066162109375,0)
(-0.95897363254644485408562104566954076290130615234375,0)	(-0.95897363254644485408562104566954076290130615234375,0)
(-0.9513226212377505763839735664078034460544586181640625,0)	(-0.9513226212377505763839735664078034460544586181640625,0)
(-0.943059144204879462591861738474108278751373291015625,0)	(-0.943059144204879462591861738474108278751373291015625,0)
(-0.9341961210490004052786616739467717707157135009765625,0)	(-0.9341961210490004052786616739467717707157135009765625,0)
(-0.9247473899003135766605510070803575217723846435546875,0)	(-0.9247473899003135766605510070803575217723846435546875,0)
(-0.91472768145059102362637304395320825278759002685546875,0)	(-0.91472768145059102362637304395320825278759002685546875,0)
(-0.90415259127567149111115440973662771284580230712890625,0)	(-0.90415259127567149111115440973662771284580230712890625,0)
(-0.893038550492911031852827363763935863971710205078125,0)	(-0.893038550492911031852827363763935863971710205078125,0)
(-0.881402794801651179312784734065644443035125732421875,0)	(-0.881402794801651179312784734065644443035125732421875,0)
(-0.86926333195746974258355521669727750122547149658203125,0)	(-0.86926333195746974258355521669727750122547149658203125,0)
(-0.8566389077339540136790674296207726001739501953125,0)	(-0.8566389077339540136790674296207726001739501953125,0)
