
Date:3/2/2010
Time:12:39:12
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-6.168375917e-005,0.0000000000)	(0.9999383162,0.0000000000)
(-0.0005550625190,0.0000000000)	(0.9994449375,0.0000000000)
(-0.001541333133,0.0000000000)	(0.9984586669,0.0000000000)
(-0.003019522272,0.0000000000)	(0.9969804777,0.0000000000)
(-0.004988171142,0.0000000000)	(0.9950118289,0.0000000000)
(-0.007445336923,0.0000000000)	(0.9925546631,0.0000000000)
(-0.01038859469,0.0000000000)	(0.9896114053,0.0000000000)
(-0.01381503980,0.0000000000)	(0.9861849602,0.0000000000)
(-0.01772129077,0.0000000000)	(0.9822787092,0.0000000000)
(-0.02210349260,0.0000000000)	(0.9778965074,0.0000000000)
(-0.02695732059,0.0000000000)	(0.9730426794,0.0000000000)
(-0.03227798459,0.0000000000)	(0.9677220154,0.0000000000)
(-0.03806023374,0.0000000000)	(0.9619397663,0.0000000000)
(-0.04429836168,0.0000000000)	(0.9557016383,0.0000000000)
(-0.05098621212,0.0000000000)	(0.9490137879,0.0000000000)
(-0.05811718496,0.0000000000)	(0.9418828150,0.0000000000)
(-0.06568424278,0.0000000000)	(0.9343157572,0.0000000000)
(-0.07367991782,0.0000000000)	(0.9263200822,0.0000000000)
(-0.08209631932,0.0000000000)	(0.9179036807,0.0000000000)
(-0.09092514129,0.0000000000)	(0.9090748587,0.0000000000)
(-0.1001576708,0.0000000000)	(0.8998423292,0.0000000000)
(-0.1097847963,0.0000000000)	(0.8902152037,0.0000000000)
(-0.1197970172,0.0000000000)	(0.8802029828,0.0000000000)
(-0.1301844525,0.0000000000)	(0.8698155475,0.0000000000)
(-0.1409368511,0.0000000000)	(0.8590631489,0.0000000000)
(-0.1520436017,0.0000000000)	(0.8479563983,0.0000000000)
(-0.1634937432,0.0000000000)	(0.8365062568,0.0000000000)
(-0.1752759758,0.0000000000)	(0.8247240242,0.0000000000)
(-0.1873786718,0.0000000000)	(0.8126213282,0.0000000000)
(-0.1997898873,0.0000000000)	(0.8002101127,0.0000000000)
(-0.2124973740,0.0000000000)	(0.7875026260,0.0000000000)
(-0.2254885910,0.0000000000)	(0.7745114090,0.0000000000)
(-0.2387507176,0.0000000000)	(0.7612492824,0.0000000000)
(-0.2522706658,0.0000000000)	(0.7477293342,0.0000000000)
(-0.2660350929,0.0000000000)	(0.7339649071,0.0000000000)
(-0.2800304151,0.0000000000)	(0.7199695849,0.0000000000)
(-0.2942428207,0.0000000000)	(0.7057571793,0.0000000000)
(-0.3086582838,0.0000000000)	(0.6913417162,0.0000000000)
(-0.3232625781,0.0000000000)	(0.6767374219,0.0000000000)
(-0.3380412909,0.0000000000)	(0.6619587091,0.0000000000)
(-0.3529798374,0.0000000000)	(0.6470201626,0.0000000000)
(-0.3680634750,0.0000000000)	(0.6319365250,0.0000000000)
(-0.3832773181,0.0000000000)	(0.6167226819,0.0000000000)
(-0.3986063523,0.0000000000)	(0.6013936477,0.0000000000)
(-0.4140354499,0.0000000000)	(0.5859645501,0.0000000000)
(-0.4295493840,0.0000000000)	(0.5704506160,0.0000000000)
(-0.4451328445,0.0000000000)	(0.5548671555,0.0000000000)
(-0.4607704521,0.0000000000)	(0.5392295479,0.0000000000)
(-0.4764467746,0.0000000000)	(0.5235532254,0.0000000000)
(-0.4921463413,0.0000000000)	(0.5078536587,0.0000000000)
(-0.5078536587,0.0000000000)	(0.4921463413,0.0000000000)
(-0.5235532254,0.0000000000)	(0.4764467746,0.0000000000)
(-0.5392295479,0.0000000000)	(0.4607704521,0.0000000000)
(-0.5548671555,0.0000000000)	(0.4451328445,0.0000000000)
(-0.5704506160,0.0000000000)	(0.4295493840,0.0000000000)
(-0.5859645501,0.0000000000)	(0.4140354499,0.0000000000)
(-0.6013936477,0.0000000000)	(0.3986063523,0.0000000000)
(-0.6167226819,0.0000000000)	(0.3832773181,0.0000000000)
(-0.6319365250,0.0000000000)	(0.3680634750,0.0000000000)
(-0.6470201626,0.0000000000)	(0.3529798374,0.0000000000)
(-0.6619587091,0.0000000000)	(0.3380412909,0.0000000000)
(-0.6767374219,0.0000000000)	(0.3232625781,0.0000000000)
(-0.6913417162,0.0000000000)	(0.3086582838,0.0000000000)
(-0.7057571793,0.0000000000)	(0.2942428207,0.0000000000)
(-0.7199695849,0.0000000000)	(0.2800304151,0.0000000000)
(-0.7339649071,0.0000000000)	(0.2660350929,0.0000000000)
(-0.7477293342,0.0000000000)	(0.2522706658,0.0000000000)
(-0.7612492824,0.0000000000)	(0.2387507176,0.0000000000)
(-0.7745114090,0.0000000000)	(0.2254885910,0.0000000000)
(-0.7875026260,0.0000000000)	(0.2124973740,0.0000000000)
(-0.8002101127,0.0000000000)	(0.1997898873,0.0000000000)
(-0.8126213282,0.0000000000)	(0.1873786718,0.0000000000)
(-0.8247240242,0.0000000000)	(0.1752759758,0.0000000000)
(-0.8365062568,0.0000000000)	(0.1634937432,0.0000000000)
(-0.8479563983,0.0000000000)	(0.1520436017,0.0000000000)
(-0.8590631489,0.0000000000)	(0.1409368511,0.0000000000)
(-0.8698155475,0.0000000000)	(0.1301844525,0.0000000000)
(-0.8802029828,0.0000000000)	(0.1197970172,0.0000000000)
(-0.8902152037,0.0000000000)	(0.1097847963,0.0000000000)
(-0.8998423292,0.0000000000)	(0.1001576708,0.0000000000)
(-0.9090748587,0.0000000000)	(0.09092514129,0.0000000000)
(-0.9179036807,0.0000000000)	(0.08209631932,0.0000000000)
(-0.9263200822,0.0000000000)	(0.07367991782,0.0000000000)
(-0.9343157572,0.0000000000)	(0.06568424278,0.0000000000)
(-0.9418828150,0.0000000000)	(0.05811718496,0.0000000000)
(-0.9490137879,0.0000000000)	(0.05098621212,0.0000000000)
(-0.9557016383,0.0000000000)	(0.04429836168,0.0000000000)
(-0.9619397663,0.0000000000)	(0.03806023374,0.0000000000)
(-0.9677220154,0.0000000000)	(0.03227798459,0.0000000000)
(-0.9730426794,0.0000000000)	(0.02695732059,0.0000000000)
(-0.9778965074,0.0000000000)	(0.02210349260,0.0000000000)
(-0.9822787092,0.0000000000)	(0.01772129077,0.0000000000)
(-0.9861849602,0.0000000000)	(0.01381503980,0.0000000000)
(-0.9896114053,0.0000000000)	(0.01038859469,0.0000000000)
(-0.9925546631,0.0000000000)	(0.007445336923,0.0000000000)
(-0.9950118289,0.0000000000)	(0.004988171142,0.0000000000)
(-0.9969804777,0.0000000000)	(0.003019522272,0.0000000000)
(-0.9984586669,0.0000000000)	(0.001541333133,0.0000000000)
(-0.9994449375,0.0000000000)	(0.0005550625190,0.0000000000)
(-0.9999383162,0.0000000000)	(6.168375917e-005,0.0000000000)
Quadrature Weights
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
0.01000000000	0.01000000000
