
Date:2/2/2010
Time:13:36:21
Output format: Text
Calculations precision: 64

Initial Quadrature
Quadrature Nodes
(-0.0002418588540,0.0000000000)	(0.9997581411,0.0000000000)
(-0.0009672014332,0.0000000000)	(0.9990327986,0.0000000000)
(-0.002175326015,0.0000000000)	(0.9978246740,0.0000000000)
(-0.003865063818,0.0000000000)	(0.9961349362,0.0000000000)
(-0.006034780130,0.0000000000)	(0.9939652199,0.0000000000)
(-0.008682375889,0.0000000000)	(0.9913176241,0.0000000000)
(-0.01180528972,0.0000000000)	(0.9881947103,0.0000000000)
(-0.01540050040,0.0000000000)	(0.9845994996,0.0000000000)
(-0.01946452980,0.0000000000)	(0.9805354702,0.0000000000)
(-0.02399344623,0.0000000000)	(0.9760065538,0.0000000000)
(-0.02898286827,0.0000000000)	(0.9710171317,0.0000000000)
(-0.03442796895,0.0000000000)	(0.9655720310,0.0000000000)
(-0.04032348051,0.0000000000)	(0.9596765195,0.0000000000)
(-0.04666369941,0.0000000000)	(0.9533363006,0.0000000000)
(-0.05344249191,0.0000000000)	(0.9465575081,0.0000000000)
(-0.06065329995,0.0000000000)	(0.9393467000,0.0000000000)
(-0.06828914755,0.0000000000)	(0.9317108524,0.0000000000)
(-0.07634264752,0.0000000000)	(0.9236573525,0.0000000000)
(-0.08480600862,0.0000000000)	(0.9151939914,0.0000000000)
(-0.09367104309,0.0000000000)	(0.9063289569,0.0000000000)
(-0.1029291746,0.0000000000)	(0.8970708254,0.0000000000)
(-0.1125714464,0.0000000000)	(0.8874285536,0.0000000000)
(-0.1225885304,0.0000000000)	(0.8774114696,0.0000000000)
(-0.1329707356,0.0000000000)	(0.8670292644,0.0000000000)
(-0.1437080179,0.0000000000)	(0.8562919821,0.0000000000)
(-0.1547899897,0.0000000000)	(0.8452100103,0.0000000000)
(-0.1662059299,0.0000000000)	(0.8337940701,0.0000000000)
(-0.1779447943,0.0000000000)	(0.8220552057,0.0000000000)
(-0.1899952263,0.0000000000)	(0.8100047737,0.0000000000)
(-0.2023455679,0.0000000000)	(0.7976544321,0.0000000000)
(-0.2149838709,0.0000000000)	(0.7850161291,0.0000000000)
(-0.2278979086,0.0000000000)	(0.7721020914,0.0000000000)
(-0.2410751876,0.0000000000)	(0.7589248124,0.0000000000)
(-0.2545029595,0.0000000000)	(0.7454970405,0.0000000000)
(-0.2681682340,0.0000000000)	(0.7318317660,0.0000000000)
(-0.2820577908,0.0000000000)	(0.7179422092,0.0000000000)
(-0.2961581925,0.0000000000)	(0.7038418075,0.0000000000)
(-0.3104557981,0.0000000000)	(0.6895442019,0.0000000000)
(-0.3249367754,0.0000000000)	(0.6750632246,0.0000000000)
(-0.3395871151,0.0000000000)	(0.6604128849,0.0000000000)
(-0.3543926439,0.0000000000)	(0.6456073561,0.0000000000)
(-0.3693390384,0.0000000000)	(0.6306609616,0.0000000000)
(-0.3844118389,0.0000000000)	(0.6155881611,0.0000000000)
(-0.3995964636,0.0000000000)	(0.6004035364,0.0000000000)
(-0.4148782221,0.0000000000)	(0.5851217779,0.0000000000)
(-0.4302423305,0.0000000000)	(0.5697576695,0.0000000000)
(-0.4456739250,0.0000000000)	(0.5543260750,0.0000000000)
(-0.4611580764,0.0000000000)	(0.5388419236,0.0000000000)
(-0.4766798048,0.0000000000)	(0.5233201952,0.0000000000)
(-0.4922240940,0.0000000000)	(0.5077759060,0.0000000000)
(-0.5077759060,0.0000000000)	(0.4922240940,0.0000000000)
(-0.5233201952,0.0000000000)	(0.4766798048,0.0000000000)
(-0.5388419236,0.0000000000)	(0.4611580764,0.0000000000)
(-0.5543260750,0.0000000000)	(0.4456739250,0.0000000000)
(-0.5697576695,0.0000000000)	(0.4302423305,0.0000000000)
(-0.5851217779,0.0000000000)	(0.4148782221,0.0000000000)
(-0.6004035364,0.0000000000)	(0.3995964636,0.0000000000)
(-0.6155881611,0.0000000000)	(0.3844118389,0.0000000000)
(-0.6306609616,0.0000000000)	(0.3693390384,0.0000000000)
(-0.6456073561,0.0000000000)	(0.3543926439,0.0000000000)
(-0.6604128849,0.0000000000)	(0.3395871151,0.0000000000)
(-0.6750632246,0.0000000000)	(0.3249367754,0.0000000000)
(-0.6895442019,0.0000000000)	(0.3104557981,0.0000000000)
(-0.7038418075,0.0000000000)	(0.2961581925,0.0000000000)
(-0.7179422092,0.0000000000)	(0.2820577908,0.0000000000)
(-0.7318317660,0.0000000000)	(0.2681682340,0.0000000000)
(-0.7454970405,0.0000000000)	(0.2545029595,0.0000000000)
(-0.7589248124,0.0000000000)	(0.2410751876,0.0000000000)
(-0.7721020914,0.0000000000)	(0.2278979086,0.0000000000)
(-0.7850161291,0.0000000000)	(0.2149838709,0.0000000000)
(-0.7976544321,0.0000000000)	(0.2023455679,0.0000000000)
(-0.8100047737,0.0000000000)	(0.1899952263,0.0000000000)
(-0.8220552057,0.0000000000)	(0.1779447943,0.0000000000)
(-0.8337940701,0.0000000000)	(0.1662059299,0.0000000000)
(-0.8452100103,0.0000000000)	(0.1547899897,0.0000000000)
(-0.8562919821,0.0000000000)	(0.1437080179,0.0000000000)
(-0.8670292644,0.0000000000)	(0.1329707356,0.0000000000)
(-0.8774114696,0.0000000000)	(0.1225885304,0.0000000000)
(-0.8874285536,0.0000000000)	(0.1125714464,0.0000000000)
(-0.8970708254,0.0000000000)	(0.1029291746,0.0000000000)
(-0.9063289569,0.0000000000)	(0.09367104309,0.0000000000)
(-0.9151939914,0.0000000000)	(0.08480600862,0.0000000000)
(-0.9236573525,0.0000000000)	(0.07634264752,0.0000000000)
(-0.9317108524,0.0000000000)	(0.06828914755,0.0000000000)
(-0.9393467000,0.0000000000)	(0.06065329995,0.0000000000)
(-0.9465575081,0.0000000000)	(0.05344249191,0.0000000000)
(-0.9533363006,0.0000000000)	(0.04666369941,0.0000000000)
(-0.9596765195,0.0000000000)	(0.04032348051,0.0000000000)
(-0.9655720310,0.0000000000)	(0.03442796895,0.0000000000)
(-0.9710171317,0.0000000000)	(0.02898286827,0.0000000000)
(-0.9760065538,0.0000000000)	(0.02399344623,0.0000000000)
(-0.9805354702,0.0000000000)	(0.01946452980,0.0000000000)
(-0.9845994996,0.0000000000)	(0.01540050040,0.0000000000)
(-0.9881947103,0.0000000000)	(0.01180528972,0.0000000000)
(-0.9913176241,0.0000000000)	(0.008682375889,0.0000000000)
(-0.9939652199,0.0000000000)	(0.006034780130,0.0000000000)
(-0.9961349362,0.0000000000)	(0.003865063818,0.0000000000)
(-0.9978246740,0.0000000000)	(0.002175326015,0.0000000000)
(-0.9990327986,0.0000000000)	(0.0009672014332,0.0000000000)
(-0.9997581411,0.0000000000)	(0.0002418588540,0.0000000000)
Quadrature Weights
1.915250363e-005	1.915250363e-005
7.653591720e-005	7.653591720e-005
0.0001719282354	0.0001719282354
0.0003049604040	0.0003049604040
0.0004751177472	0.0004751177472
0.0006817419594	0.0006817419594
0.0009240336517	0.0009240336517
0.001201055445	0.001201055445
0.001511735594	0.001511735594
0.001854872140	0.001854872140
0.002229137553	0.002229137553
0.002633083874	0.002633083874
0.003065148311	0.003065148311
0.003523659293	0.003523659293
0.004006842928	0.004006842928
0.004512829874	0.004512829874
0.005039662565	0.005039662565
0.005585302787	0.005585302787
0.006147639566	0.006147639566
0.006724497329	0.006724497329
0.007313644325	0.007313644325
0.007912801259	0.007912801259
0.008519650109	0.008519650109
0.009131843096	0.009131843096
0.009747011763	0.009747011763
0.01036277614	0.01036277614
0.01097675396	0.01097675396
0.01158656986	0.01158656986
0.01218986458	0.01218986458
0.01278430408	0.01278430408
0.01336758861	0.01336758861
0.01393746153	0.01393746153
0.01449171814	0.01449171814
0.01502821411	0.01502821411
0.01554487384	0.01554487384
0.01603969849	0.01603969849
0.01651077367	0.01651077367
0.01695627687	0.01695627687
0.01737448455	0.01737448455
0.01776377872	0.01776377872
0.01812265329	0.01812265329
0.01844971985	0.01844971985
0.01874371303	0.01874371303
0.01900349544	0.01900349544
0.01922806201	0.01922806201
0.01941654396	0.01941654396
0.01956821208	0.01956821208
0.01968247960	0.01968247960
0.01975890444	0.01975890444
0.01979719091	0.01979719091
0.01979719091	0.01979719091
0.01975890444	0.01975890444
0.01968247960	0.01968247960
0.01956821208	0.01956821208
0.01941654396	0.01941654396
0.01922806201	0.01922806201
0.01900349544	0.01900349544
0.01874371303	0.01874371303
0.01844971985	0.01844971985
0.01812265329	0.01812265329
0.01776377872	0.01776377872
0.01737448455	0.01737448455
0.01695627687	0.01695627687
0.01651077367	0.01651077367
0.01603969849	0.01603969849
0.01554487384	0.01554487384
0.01502821411	0.01502821411
0.01449171814	0.01449171814
0.01393746153	0.01393746153
0.01336758861	0.01336758861
0.01278430408	0.01278430408
0.01218986458	0.01218986458
0.01158656986	0.01158656986
0.01097675396	0.01097675396
0.01036277614	0.01036277614
0.009747011763	0.009747011763
0.009131843096	0.009131843096
0.008519650109	0.008519650109
0.007912801259	0.007912801259
0.007313644325	0.007313644325
0.006724497329	0.006724497329
0.006147639566	0.006147639566
0.005585302787	0.005585302787
0.005039662565	0.005039662565
0.004512829874	0.004512829874
0.004006842928	0.004006842928
0.003523659293	0.003523659293
0.003065148311	0.003065148311
0.002633083874	0.002633083874
0.002229137553	0.002229137553
0.001854872140	0.001854872140
0.001511735594	0.001511735594
0.001201055445	0.001201055445
0.0009240336517	0.0009240336517
0.0006817419594	0.0006817419594
0.0004751177472	0.0004751177472
0.0003049604040	0.0003049604040
0.0001719282354	0.0001719282354
7.653591720e-005	7.653591720e-005
1.915250363e-005	1.915250363e-005

Vector_Stieltjes_procedure ...
0.0000000000	0.0000000000	-0.5000000000	1.000000000
0.0000000000	0.06250000000	0.2524916944	1.000000000
-0.04703073090	0.1455502699	-0.3896329747	1.000000000
0.06698926683	0.1606900617	0.3641627040	1.000000000
-0.05377636287	0.1414467604	-0.3951501761	1.000000000
0.06020338282	0.1525907946	0.3811890810	1.000000000
-0.05518673782	0.1418186955	-0.3959122681	1.000000000
0.05870846881	0.1494524398	0.3866797976	1.000000000
-0.05579408431	0.1424879893	-0.3955661348	1.000000000
0.05811382111	0.1480259945	0.3888418428	1.000000000
-0.05612224174	0.1430936773	-0.3949401835	1.000000000
0.05780871290	0.1473148192	0.3897445405	1.000000000
-0.05632389161	0.1436007858	-0.3942749253	1.000000000
0.05762728486	0.1469427396	0.3900966243	1.000000000
-0.05645869655	0.1440215600	-0.3936452841	1.000000000
0.05750853402	0.1467461163	0.3901865618	1.000000000
-0.05655433866	0.1443730676	-0.3930722352	1.000000000
0.05742542670	0.1466460845	0.3901457722	1.000000000
-0.05662526018	0.1446698531	-0.3925580064	1.000000000
0.05736434099	0.1466016045	0.3900389883	1.000000000
-0.05667967271	0.1449232296	-0.3920984195	1.000000000
0.05731773471	0.1465900242	0.3898998913	1.000000000
-0.05672256343	0.1451418202	-0.3916874802	1.000000000
0.05728111997	0.1465982526	0.3897466690	1.000000000
-0.05675712343	0.1453322060	-0.3913191048	1.000000000
0.05725167029	0.1466184469	0.3895893578	1.000000000
-0.05678548274	0.1454994535	-0.3909877340	1.000000000
0.05722752209	0.1466457749	0.3894335280	1.000000000
-0.05680911369	0.1456475077	-0.3906885007	1.000000000
0.05720739952	0.1466771950	0.3892822271	1.000000000
